"CXN"	623640	624560
"SIL"	624560	628140
"CHN"	628140	628950
"SIL"	628950	630040
"FAN"	630040	630930
"OLF"	630930	631860
"SIL"	631860	633350
"FAN"	633350	634410
"MAN"	634410	635430
"FAN"	635430	636940
"FAN"	636940	639220
"SIL"	639220	642560
"NOF"	642560	645000
"SIL"	645000	647960
"CHN"	647960	649150
"SIL"	649150	651090
"NOF"	651090	654480
"CXN"	654480	655280
"MAN"	655280	656850
"OLF"	656850	658260
"NOF"	658260	660440
"FAN"	660440	661040
"NON"	661040	663360
"FAN"	663360	664380
"NOF"	664380	665180
"FAN"	665180	665780
"NOF"	665780	669990
"SIL"	669990	672050
"CHN"	672050	672850
"SIL"	672850	674340
"FAN"	674340	674940
"SIL"	674940	676490
"FAN"	676490	677490
"CHN"	677490	678090
"NOF"	678090	681080
"FAN"	681080	681840
"OLF"	681840	683170
"FAN"	683170	683820
"MAN"	683820	684820
"SIL"	684820	685700
"NOF"	685700	687900
"SIL"	687900	688890
"CXN"	688890	689490
"SIL"	689490	690290
"FAN"	690290	690890
"NON"	690890	691690
"SIL"	691690	692540
"NON"	692540	693950
"CXN"	693950	694550
"NOF"	694550	695380
"MAN"	695380	696380
"SIL"	696380	697970
"FAN"	697970	698700
"MAN"	698700	699710
"FAN"	699710	700600
"MAN"	700600	701620
"FAN"	701620	702660
"SIL"	702660	704240
"FAN"	704240	707160
"NOF"	707160	707970
"FAN"	707970	708570
"NOF"	708570	710750
"SIL"	710750	711620
"NOF"	711620	712640
"CHN"	712640	714370
"FAN"	714370	715480
"FAF"	715480	716280
"FAN"	716280	717280
"NOF"	717280	718090
"FAN"	718090	719200
"SIL"	719200	721700
"NOF"	721700	722520
"SIL"	722520	724270
"NOF"	724270	725080
"FAF"	725080	726080
"SIL"	726080	727120
"NOF"	727120	727920
"FAN"	727920	729500
"CXN"	729500	730360
"SIL"	730360	731700
"CXN"	731700	732870
"NOF"	732870	734650
"CHN"	734650	735250
"SIL"	735250	736080
"CXN"	736080	736680
"SIL"	736680	737830
"FAN"	737830	738430
"NOF"	738430	739250
"OLN"	739250	740230
"NOF"	740230	741030
"OLN"	741030	742070
"SIL"	742070	742940
"OLF"	742940	744230
"OLN"	744230	745310
"FAN"	745310	746310
"SIL"	746310	748630
"NON"	748630	749870
"FAN"	749870	750960
"MAN"	750960	751980
"NOF"	751980	753140
"FAN"	753140	754300
"NOF"	754300	756370
"OLN"	756370	757170
"NOF"	757170	758070
"MAN"	758070	759070
"SIL"	759070	759890
"NOF"	759890	763940
"SIL"	763940	767870
"OLF"	767870	768700
"NON"	768700	775250
"OLF"	775250	776210
"NOF"	776210	778900
"MAF"	778900	779900
"NOF"	779900	780910
"FAN"	780910	781510
"NOF"	781510	783510
"CHN"	783510	784480
"CHN"	784480	785510
"CHN"	785510	787330
"MAF"	787330	788280
"MAN"	788280	788890
"NOF"	788890	789690
"FAN"	789690	790740
"TVF"	790740	791540
"FAN"	791540	792150
"CXF"	792150	793600
"MAF"	793600	794500
"CXN"	794500	795100
"NOF"	795100	796190
"OLF"	796190	797380
"MAF"	797380	798460
"SIL"	798460	800880
"MAN"	800880	802000
"CXN"	802000	802800
"MAN"	802800	803800
"NOF"	803800	805560
"SIL"	805560	806430
"NOF"	806430	807760
"OLN"	807760	808590
"CHN"	808590	809190
"NOF"	809190	810690
"CHN"	810690	811820
"CHN"	811820	813940
"NOF"	813940	815420
"CHN"	815420	817620
"OLF"	817620	818430
"OLN"	818430	819270
"CHN"	819270	820970
"NOF"	820970	822250
"CHN"	822250	822850
"OLF"	822850	823650
"CHN"	823650	824740
"NOF"	824740	825630
"CHN"	825630	829380
"NOF"	829380	830850
"OLN"	830850	832670
"FAN"	832670	833270
"NOF"	833270	834070
"CHN"	834070	835940
"SIL"	835940	837240
"FAN"	837240	837920
"NOF"	837920	839510
"FAN"	839510	840240
"NOF"	840240	841990
"FAN"	841990	842590
"OLF"	842590	844880
"OLN"	844880	845690
"NOF"	845690	846760
"FAN"	846760	847760
"MAF"	847760	848570
"FAN"	848570	849710
"NOF"	849710	850960
"FAN"	850960	851800
"FAN"	851800	853020
"NOF"	853020	854180
"SIL"	854180	855110
"CHN"	855110	856420
"NOF"	856420	857770
"CHN"	857770	859080
"OLN"	859080	859910
"CHN"	859910	860510
"OLN"	860510	861340
"CHN"	861340	862170
"NOF"	862170	862970
"FAN"	862970	863640
"NOF"	863640	865570
"CHN"	865570	868130
"SIL"	868130	868950
"FAN"	868950	869550
"OLN"	869550	870350
"NOF"	870350	871540
"FAN"	871540	872140
"NOF"	872140	872950
"SIL"	872950	873800
"NOF"	873800	875560
"OLF"	875560	876360
"NOF"	876360	879220
"FAN"	879220	879820
"NOF"	879820	881030
"CHN"	881030	881730
"NOF"	881730	885220
"SIL"	885220	886060
"FAN"	886060	886760
"OLN"	886760	887560
"MAN"	887560	888740
"NOF"	888740	890910
"OLN"	890910	891750
"NOF"	891750	892880
"FAN"	892880	893480
"NOF"	893480	895540
"MAN"	895540	896540
"FAN"	896540	897140
"OLF"	897140	898740
"CXN"	898740	899340
"NOF"	899340	900760
"CXN"	900760	901620
"FAN"	901620	902230
"CXF"	902230	903030
"CHF"	903030	903630
"NOF"	903630	908840
"FAN"	908840	909440
"NOF"	909440	910370
"MAF"	910370	911390
"NOF"	911390	917370
"CXN"	917370	918820
"CXN"	918820	920110
"FAN"	920110	921780
"CXN"	921780	922470
"MAN"	922470	923930
"NOF"	923930	925420
"OLN"	925420	926750
"SIL"	926750	927550
"NOF"	927550	928480
"FAN"	928480	929080
"OLF"	929080	930170
"SIL"	930170	930970
"OLF"	930970	932780
"SIL"	932780	933880
"CHN"	933880	934480
"CHN"	934480	935480
"SIL"	935480	936340
"FAN"	936340	936970
"NOF"	936970	937970
"FAN"	937970	938970
"MAF"	938970	939890
"FAN"	939890	940890
"NOF"	940890	942670
"MAF"	942670	943780
"SIL"	943780	944580
"NOF"	944580	946160
"SIL"	946160	946960
"FAN"	946960	947560
"OLN"	947560	948420
"NOF"	948420	950530
"MAF"	950530	951770
"CXN"	951770	952700
"NOF"	952700	953530
"CXN"	953530	954420
"CXN"	954420	955060
"CHN"	955060	955880
"NOF"	955880	959530
"OLN"	959530	960530
"NOF"	960530	961930
"SIL"	961930	963350
"FAF"	963350	963950
"NOF"	963950	964770
"MAN"	964770	965770
"FAN"	965770	968130
"CHN"	968130	968920
"OLF"	968920	969720
"CHN"	969720	970320
"FAN"	970320	971500
"SIL"	971500	972300
"MAF"	972300	973260
"SIL"	973260	975910
"FAN"	975910	976910
"SIL"	976910	977710
"CXN"	977710	978520
"NON"	978520	979730
"CXN"	979730	980530
"NOF"	980530	981620
"CXF"	981620	982440
"OLF"	982440	983240
"NOF"	983240	985040
"SIL"	985040	985840
"NOF"	985840	987200
"CHN"	987200	987950
"OLF"	987950	988750
"MAN"	988750	989760
"CHN"	989760	990890
"NOF"	990890	995440
"SIL"	995440	996240
"NOF"	996240	997540
"MAN"	997540	998700
"SIL"	998700	1001620
"CHF"	1001620	1002850
"SIL"	1002850	1003650
"NOF"	1003650	1005860
"OLN"	1005860	1006660
"NOF"	1006660	1009390
"SIL"	1009390	1010670
"MAN"	1010670	1011670
"NOF"	1011670	1012470
"OLN"	1012470	1013270
"SIL"	1013270	1014780
"MAF"	1014780	1015820
"CXN"	1015820	1016430
"OLF"	1016430	1017580
"NOF"	1017580	1018720
"OLF"	1018720	1019770
"NOF"	1019770	1021390
"FAN"	1021390	1022390
"OLN"	1022390	1023970
"OLF"	1023970	1025110
"FAN"	1025110	1025730
"OLN"	1025730	1026780
"CXN"	1026780	1027880
"CHN"	1027880	1028490
"CHN"	1028490	1029490
"CHN"	1029490	1030690
"OLN"	1030690	1032590
"NOF"	1032590	1037010
"OLF"	1037010	1037840
"NOF"	1037840	1040010
"OLN"	1040010	1041050
"NOF"	1041050	1043410
"MAN"	1043410	1044430
"NOF"	1044430	1045240
"SIL"	1045240	1046040
"NOF"	1046040	1049710
"FAN"	1049710	1050320
"NOF"	1050320	1053940
"OLN"	1053940	1054740
"NOF"	1054740	1056300
"SIL"	1056300	1057700
"OLF"	1057700	1060060
"SIL"	1060060	1062900
"FAF"	1062900	1064090
"SIL"	1064090	1076900
"NOF"	1076900	1077950
"OLN"	1077950	1078770
"MAF"	1078770	1079770
"OLN"	1079770	1081040
"MAN"	1081040	1082450
"NOF"	1082450	1083250
"MAN"	1083250	1085000
"NOF"	1085000	1085960
"SIL"	1085960	1087670
"OLF"	1087670	1088560
"SIL"	1088560	1097330
"NOF"	1097330	1098130
"SIL"	1098130	1107440
"MAN"	1107440	1108440
"SIL"	1108440	1109240
"OLN"	1109240	1110170
"SIL"	1110170	1111180
"MAN"	1111180	1112500
"SIL"	1112500	1113300
"NOF"	1113300	1114540
"FAN"	1114540	1115790
"CXN"	1115790	1116610
"MAF"	1116610	1117640
"SIL"	1117640	1119310
"OLF"	1119310	1120110
"SIL"	1120110	1121330
"FAN"	1121330	1122330
"SIL"	1122330	1123610
"FAN"	1123610	1124610
"SIL"	1124610	1126880
"NOF"	1126880	1127720
"SIL"	1127720	1128570
"MAN"	1128570	1129570
"SIL"	1129570	1133140
"MAF"	1133140	1134140
"SIL"	1134140	1135380
"FAN"	1135380	1136380
"SIL"	1136380	1140860
"FAN"	1140860	1141480
"SIL"	1141480	1142320
"NOF"	1142320	1144600
"SIL"	1144600	1148890
"MAF"	1148890	1149690
"SIL"	1149690	1150490
"NOF"	1150490	1151290
"SIL"	1151290	1160470
"NOF"	1160470	1161270
"SIL"	1161270	1172780
"NOF"	1172780	1174720
"SIL"	1174720	1175950
"OLF"	1175950	1176960
"SIL"	1176960	1179180
"OLF"	1179180	1179980
"SIL"	1179980	1184950
"NOF"	1184950	1185550
"SIL"	1185550	1189840
"NOF"	1189840	1190640
"SIL"	1190640	1191920
"NOF"	1191920	1193760
"SIL"	1193760	1196650
"NOF"	1196650	1197490
"SIL"	1197490	1200690
"MAF"	1200690	1201690
"SIL"	1201690	1204510
"NOF"	1204510	1205530
"SIL"	1205530	1206740
"MAF"	1206740	1207890
"SIL"	1207890	1228750
"NOF"	1228750	1230230
"SIL"	1230230	1235670
"NOF"	1235670	1236500
"SIL"	1236500	1244820
"NOF"	1244820	1245940
"SIL"	1245940	1247170
"CXF"	1247170	1247970
"NOF"	1247970	1248770
"SIL"	1248770	1249600
"MAN"	1249600	1250600
"SIL"	1250600	1260340
"OLF"	1260340	1261560
"SIL"	1261560	1274290
"FAN"	1274290	1275290
"SIL"	1275290	1293390
"NOF"	1293390	1294980
"SIL"	1294980	1296800
"NOF"	1296800	1298970
"SIL"	1298970	1299770
"NOF"	1299770	1301200
"SIL"	1301200	1304190
"NOF"	1304190	1306270
"SIL"	1306270	1307070
"NOF"	1307070	1309560
"SIL"	1309560	1310750
"NON"	1310750	1311580
"SIL"	1311580	1321130
"FAF"	1321130	1322380
"SIL"	1322380	1327090
"CXF"	1327090	1328370
"SIL"	1328370	1329620
"MAN"	1329620	1330720
"SIL"	1330720	1336560
"FAF"	1336560	1337650
"SIL"	1337650	1338450
"FAF"	1338450	1339500
"SIL"	1339500	1341950
"MAF"	1341950	1342750
"SIL"	1342750	1345390
"TVF"	1345390	1346390
"SIL"	1346390	1349150
"FAF"	1349150	1350150
"SIL"	1350150	1350950
"MAN"	1350950	1351950
"SIL"	1351950	1354370
"FAF"	1354370	1356330
"SIL"	1356330	1359130
"MAF"	1359130	1360130
"SIL"	1360130	1361010
"MAN"	1361010	1362010
"SIL"	1362010	1362820
"MAN"	1362820	1363930
"SIL"	1363930	1367720
"NOF"	1367720	1368520
"SIL"	1368520	1370920
"TVN"	1370920	1371920
"SIL"	1371920	1380590
"FAN"	1380590	1381390
"SIL"	1381390	1383450
"MAF"	1383450	1384570
"SIL"	1384570	1389650
"FAN"	1389650	1390650
"SIL"	1390650	1393580
"FAN"	1393580	1394580
"SIL"	1394580	1395470
